jugador,edad,equipo_actual,posicion_jugador,posicion_original,valor_mercado_jugador,minutos_jugador,goles_jugador,xg_jugador,ranking_destino,club_destino,posicion_destino,entrenador_principal,score_evidencia,nivel_evidencia,jugadores_sub23_destino,minutos_sub23_destino,partidos_sub23_destino,goles_sub23_destino,xg_sub23_destino,valor_medio_destino,revalorizacion_media_destino,temporadas_analizadas,pct_minutos_sub23_club,razones
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,3,Deportivo de La Coruña,Extremo,Óscar Gilsanz,66.27,Media,2,6125.0,73.0,21.0,22.43,,,1,24.19,6125 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; entrenador con 6125 min Sub23 en posicion; 21 goles Sub23; xG Sub23 22.43
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,4,Levante UD,Extremo,Julián Calero,60.87,Alta,2,5701.0,72.0,10.0,8.15,1200000.0,,2,41.73,5701 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: Julián Calero; entrenador con 5701 min Sub23 en posicion; 10 goles Sub23; xG Sub23 8.15
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,5,Villarreal CF B,Extremo,Miguel Álvarez,60.58,Alta,2,5529.0,95.0,3.0,9.37,,,3,58.73,5529 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: Miguel Álvarez; entrenador con 5058 min Sub23 en posicion; 3 goles Sub23; xG Sub23 9.37
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,6,FC Andorra,Extremo,Ferran Costa,57.5,Alta,4,6013.0,119.0,17.0,15.31,500000.0,,3,23.19,6013 min Sub23 en Extremo; 4 jugadores Sub23 usados; entrenador principal: Ferran Costa; entrenador con 1395 min Sub23 en posicion; 17 goles Sub23; xG Sub23 15.31
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,7,Elche CF,Extremo,Sebastián Beccacece,53.25,Media,2,4751.0,76.0,4.0,7.77,1400000.0,,3,73.82,4751 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: Sebastián Beccacece; entrenador con 2421 min Sub23 en posicion; 4 goles Sub23; xG Sub23 7.77
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,8,Burgos CF,Extremo,José Alberto,44.77,Media,2,4713.0,82.0,14.0,12.61,100000.0,,2,24.89,4713 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: José Alberto; entrenador con 1690 min Sub23 en posicion; 14 goles Sub23; xG Sub23 12.61
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,9,Málaga CF,Extremo,Pellicer,41.35,Media,4,4258.0,77.0,8.0,7.46,220000.0,0.0,4,18.63,4258 min Sub23 en Extremo; 4 jugadores Sub23 usados; entrenador principal: Pellicer; entrenador con 320 min Sub23 en posicion; 8 goles Sub23; xG Sub23 7.46
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,10,CD Mirandés,Extremo,Míchel Alonso,41.05,Media,5,3997.0,62.0,8.0,7.75,450000.0,,3,12.13,3997 min Sub23 en Extremo; 5 jugadores Sub23 usados; entrenador principal: Míchel Alonso; entrenador con 14 min Sub23 en posicion; 8 goles Sub23; xG Sub23 7.75
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,11,Real Valladolid CF,Extremo,Diego Cocca,39.39,Media,3,3556.0,56.0,6.0,6.35,2341666.67,,2,16.11,3556 min Sub23 en Extremo; 3 jugadores Sub23 usados; entrenador principal: Diego Cocca; entrenador con 2705 min Sub23 en posicion; 6 goles Sub23; xG Sub23 6.35
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,12,CD Leganés,Extremo,Borja Jiménez,34.46,Media,2,3563.0,75.0,7.0,4.18,625000.0,,3,14.26,3563 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: Borja Jiménez; entrenador con 2160 min Sub23 en posicion; 7 goles Sub23; xG Sub23 4.18
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,1,Racing Santander,Mediocentro,Íñigo Vélez,62.61,Alta,9,13932.0,218.0,14.0,12.65,1171428.57,,3,43.18,13932 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Íñigo Vélez; 14 goles Sub23; xG Sub23 12.65
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,2,Sporting Gijón,Mediocentro,Rubén Albés,61.0,Alta,9,10680.0,190.0,8.0,8.27,585714.29,500000.0,5,36.13,10680 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Rubén Albés; 8 goles Sub23; xG Sub23 8.27
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,3,CD Mirandés,Mediocentro,Míchel Alonso,60.65,Alta,9,13632.0,224.0,9.0,13.58,208333.33,,4,41.38,13632 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Míchel Alonso; 9 goles Sub23; xG Sub23 13.58
